,template_id,simulation_id,answer,count
0,descriptive_32,4,True,11
1,descriptive_32,4,False,11
2,counterfactual_8,4,True,35
3,counterfactual_8,4,False,35
4,descriptive_4,4,3,32
5,descriptive_4,4,2,6
6,descriptive_4,4,4,40
7,descriptive_4,4,0,6
8,descriptive_17,4,1,72
9,descriptive_17,4,0,72
10,descriptive_17,4,3,40
11,descriptive_17,4,2,72
12,descriptive_5,4,1,14
13,descriptive_5,4,2,14
14,descriptive_5,4,0,14
15,descriptive_25,4,circle,300
16,descriptive_10,4,0,300
17,descriptive_20,4,0,68
18,descriptive_20,4,1,68
19,descriptive_20,4,2,68
20,descriptive_20,4,3,35
21,descriptive_31,4,False,111
22,descriptive_31,4,True,111
23,cause_3,4,0,300
24,descriptive_12,4,0,21
25,descriptive_12,4,3,42
26,descriptive_12,4,2,21
27,descriptive_12,4,4,16
28,descriptive_36,4,True,37
29,descriptive_36,4,False,37
30,prevent_2,4,True,71
31,prevent_2,4,False,71
32,descriptive_33,4,True,70
33,descriptive_33,4,False,70
34,enable_4,4,0,6
35,enable_4,4,1,6
36,counterfactual_6,4,True,14
37,counterfactual_6,4,False,14
38,descriptive_7,4,4,157
39,descriptive_7,4,3,123
40,descriptive_7,4,2,20
41,cause_2,4,False,300
42,counterfactual_5,4,3,135
43,counterfactual_5,4,1,15
44,counterfactual_5,4,2,15
45,enable_3,4,0,300
46,prevent_5,4,0,9
47,prevent_5,4,1,9
48,prevent_5,4,2,9
49,counterfactual_2,4,True,127
50,counterfactual_2,4,False,127
51,counterfactual_7,4,False,300
52,cause_1,4,False,300
53,descriptive_3,4,0,35
54,descriptive_3,4,2,35
55,descriptive_3,4,3,30
56,descriptive_3,4,1,35
57,descriptive_3,4,4,25
58,descriptive_13,4,1,9
59,descriptive_13,4,2,9
60,descriptive_13,4,0,9
61,prevent_3,4,0,300
62,descriptive_22,4,purple,23
63,descriptive_22,4,yellow,23
64,descriptive_22,4,green,23
65,descriptive_22,4,gray,23
66,descriptive_22,4,brown,23
67,descriptive_22,4,blue,23
68,descriptive_22,4,red,23
69,descriptive_22,4,cyan,23
70,descriptive_23,4,purple,30
71,descriptive_23,4,yellow,30
72,descriptive_23,4,red,30
73,descriptive_23,4,gray,30
74,descriptive_23,4,green,30
75,descriptive_23,4,blue,30
76,descriptive_23,4,cyan,30
77,descriptive_23,4,brown,30
78,prevent_0,4,False,300
79,descriptive_6,4,1,28
80,descriptive_6,4,3,49
81,descriptive_6,4,0,28
82,descriptive_6,4,2,28
83,descriptive_6,4,4,7
