,simulation_id,template_id,count
0,4,cause_1,300
1,4,cause_2,300
2,4,cause_3,300
3,4,cause_4,300
4,4,cause_5,300
5,4,counterfactual_0,218
6,4,counterfactual_1,300
7,4,counterfactual_2,254
8,4,counterfactual_3,225
9,4,counterfactual_4,300
10,4,counterfactual_5,165
11,4,counterfactual_7,300
12,4,descriptive_3,160
13,4,descriptive_6,140
14,4,descriptive_7,300
15,4,descriptive_8,300
16,4,descriptive_9,300
17,4,descriptive_10,300
18,4,descriptive_11,300
19,4,descriptive_12,100
20,4,descriptive_14,147
21,4,descriptive_15,237
22,4,descriptive_17,256
23,4,descriptive_21,235
24,4,descriptive_22,184
25,4,descriptive_24,300
26,4,descriptive_25,300
27,4,descriptive_27,290
28,4,descriptive_37,138
29,4,enable_3,300
30,4,prevent_0,300
31,4,prevent_2,142
32,4,prevent_3,300
33,4,descriptive_4,84
34,4,descriptive_16,256
35,4,descriptive_20,239
36,4,descriptive_23,240
37,4,descriptive_30,108
38,4,descriptive_31,222
39,4,descriptive_36,74
40,4,prevent_4,12
41,4,descriptive_0,36
42,4,descriptive_26,42
43,4,descriptive_33,140
44,4,counterfactual_8,70
45,4,descriptive_32,22
46,4,enable_2,24
47,4,descriptive_2,103
48,4,counterfactual_6,28
49,4,prevent_1,92
50,4,descriptive_5,42
51,4,prevent_5,27
52,4,enable_1,8
53,4,enable_4,12
54,4,descriptive_13,27
55,4,descriptive_1,6
56,4,enable_5,3
57,2,cause_0,64
58,2,cause_3,34
59,2,counterfactual_1,96
60,2,counterfactual_3,221
61,2,counterfactual_4,276
62,2,counterfactual_5,267
63,2,counterfactual_6,256
64,2,counterfactual_7,266
65,2,counterfactual_8,262
66,2,descriptive_0,107
67,2,descriptive_2,243
68,2,descriptive_3,254
69,2,descriptive_6,150
70,2,descriptive_7,257
71,2,descriptive_10,154
72,2,descriptive_11,245
73,2,descriptive_12,51
74,2,descriptive_14,120
75,2,descriptive_15,275
76,2,descriptive_19,73
77,2,descriptive_20,84
78,2,descriptive_21,72
79,2,descriptive_22,240
80,2,descriptive_23,224
81,2,descriptive_24,150
82,2,descriptive_25,126
83,2,descriptive_28,206
84,2,descriptive_29,52
85,2,descriptive_30,166
86,2,descriptive_31,116
87,2,descriptive_34,180
88,2,descriptive_35,2
89,2,descriptive_36,90
90,2,descriptive_37,12
91,2,enable_0,82
92,2,counterfactual_0,92
93,2,descriptive_5,110
94,2,descriptive_8,80
95,2,descriptive_18,86
96,2,enable_5,96
97,2,cause_1,92
98,2,counterfactual_2,92
99,2,descriptive_13,3
100,2,descriptive_26,194
101,2,descriptive_27,104
102,2,descriptive_4,45
103,2,descriptive_32,76
104,2,enable_1,46
105,2,enable_2,52
106,2,prevent_0,38
107,2,cause_2,90
108,2,descriptive_17,81
109,2,cause_4,45
110,2,prevent_4,72
111,2,prevent_3,18
112,2,enable_4,3
113,2,prevent_5,4
114,2,descriptive_16,52
115,2,prevent_1,14
116,2,prevent_2,18
117,2,descriptive_33,8
118,2,cause_5,28
119,2,descriptive_1,9
120,2,descriptive_9,9
121,2,enable_3,6
122,3,counterfactual_0,188
123,3,counterfactual_2,210
124,3,counterfactual_3,231
125,3,counterfactual_4,38
126,3,counterfactual_6,222
127,3,counterfactual_8,206
128,3,descriptive_6,87
129,3,descriptive_10,26
130,3,descriptive_11,72
131,3,descriptive_14,111
132,3,descriptive_18,36
133,3,descriptive_19,36
134,3,descriptive_22,208
135,3,descriptive_23,224
136,3,descriptive_27,158
137,3,descriptive_28,36
138,3,descriptive_30,200
139,3,descriptive_31,156
140,3,descriptive_32,234
141,3,descriptive_36,214
142,3,enable_0,36
143,3,prevent_0,300
144,3,cause_4,36
145,3,cause_5,42
146,3,descriptive_2,129
147,3,descriptive_7,202
148,3,descriptive_12,55
149,3,descriptive_15,129
150,3,descriptive_17,42
151,3,descriptive_24,96
152,3,descriptive_26,198
153,3,prevent_2,114
154,3,descriptive_0,112
155,3,descriptive_25,90
156,3,cause_3,2
157,3,counterfactual_7,30
158,3,descriptive_3,138
159,3,descriptive_16,36
160,3,descriptive_34,10
161,3,enable_1,18
162,3,enable_5,40
163,3,counterfactual_5,183
164,3,prevent_1,100
165,3,descriptive_8,22
166,3,cause_2,28
167,3,descriptive_4,64
168,3,descriptive_21,9
169,3,enable_2,26
170,3,descriptive_20,24
171,3,cause_1,24
172,3,counterfactual_1,12
173,3,prevent_4,6
174,3,enable_4,22
175,3,descriptive_37,48
176,3,enable_3,14
177,3,descriptive_33,46
178,3,descriptive_29,4
179,3,descriptive_5,9
180,3,descriptive_1,3
181,3,prevent_3,4
182,3,descriptive_35,4
183,3,descriptive_13,3
184,3,cause_0,4
185,3,prevent_5,6
186,3,descriptive_9,4
187,6,cause_1,214
188,6,cause_2,223
189,6,cause_3,300
190,6,cause_4,300
191,6,cause_5,300
192,6,counterfactual_2,120
193,6,counterfactual_4,48
194,6,counterfactual_6,228
195,6,counterfactual_8,250
196,6,descriptive_2,82
197,6,descriptive_27,156
198,6,descriptive_30,52
199,6,descriptive_31,180
200,6,descriptive_33,140
201,6,descriptive_37,142
202,6,enable_1,54
203,6,prevent_5,70
204,6,descriptive_0,70
205,6,descriptive_3,217
206,6,descriptive_15,147
207,6,descriptive_22,192
208,6,descriptive_23,184
209,6,counterfactual_3,27
210,6,descriptive_11,84
211,6,descriptive_17,36
212,6,descriptive_24,84
213,6,descriptive_25,72
214,6,descriptive_36,92
215,6,cause_0,42
216,6,descriptive_7,111
217,6,descriptive_9,14
218,6,descriptive_14,27
219,6,descriptive_18,42
220,6,descriptive_19,42
221,6,descriptive_26,62
222,6,descriptive_28,42
223,6,descriptive_29,38
224,6,descriptive_32,98
225,6,counterfactual_0,90
226,6,prevent_1,58
227,6,descriptive_4,22
228,6,enable_5,36
229,6,prevent_0,6
230,6,prevent_2,66
231,6,prevent_3,16
232,6,descriptive_12,22
233,6,descriptive_13,68
234,6,descriptive_20,9
235,6,enable_3,22
236,6,counterfactual_1,18
237,6,counterfactual_5,57
238,6,descriptive_34,8
239,6,descriptive_35,18
240,6,enable_0,34
241,6,enable_4,50
242,6,descriptive_8,34
243,6,counterfactual_7,34
244,6,descriptive_10,30
245,6,enable_2,46
246,6,prevent_4,9
247,6,descriptive_21,3
248,6,descriptive_6,24
249,6,descriptive_5,6
250,6,descriptive_1,3
251,6,descriptive_16,3
252,10,cause_1,296
253,10,counterfactual_0,222
254,10,counterfactual_2,248
255,10,counterfactual_3,111
256,10,counterfactual_5,24
257,10,counterfactual_6,226
258,10,descriptive_14,204
259,10,descriptive_15,164
260,10,descriptive_30,228
261,10,descriptive_32,278
262,10,descriptive_34,126
263,10,descriptive_36,254
264,10,enable_0,218
265,10,enable_1,296
266,10,enable_2,300
267,10,enable_3,300
268,10,enable_4,300
269,10,enable_5,300
270,10,prevent_0,297
271,10,prevent_1,282
272,10,prevent_2,224
273,10,prevent_3,300
274,10,prevent_4,300
275,10,prevent_5,300
276,10,counterfactual_8,168
277,10,descriptive_5,18
278,10,descriptive_6,166
279,10,descriptive_11,78
280,10,descriptive_20,126
281,10,descriptive_21,57
282,10,descriptive_26,268
283,10,descriptive_31,66
284,10,counterfactual_7,152
285,10,descriptive_7,30
286,10,descriptive_16,42
287,10,descriptive_37,72
288,10,counterfactual_1,106
289,10,descriptive_1,20
290,10,descriptive_8,15
291,10,descriptive_22,96
292,10,descriptive_24,129
293,10,descriptive_25,144
294,10,descriptive_27,42
295,10,descriptive_29,20
296,10,descriptive_33,42
297,10,descriptive_35,64
298,10,descriptive_10,15
299,10,descriptive_0,7
300,10,descriptive_3,28
301,10,descriptive_23,72
302,10,descriptive_12,58
303,10,descriptive_2,7
304,10,descriptive_13,12
305,10,descriptive_17,21
306,10,counterfactual_4,36
307,10,descriptive_4,37
308,10,descriptive_28,8
309,10,descriptive_9,3
310,10,descriptive_19,6
311,10,cause_3,4
312,10,cause_0,8
313,10,cause_2,4
314,10,cause_5,4
315,10,cause_4,2
316,10,descriptive_18,3
317,5,counterfactual_2,150
318,5,counterfactual_6,106
319,5,counterfactual_7,128
320,5,descriptive_3,131
321,5,descriptive_12,15
322,5,descriptive_15,265
323,5,descriptive_20,114
324,5,descriptive_30,94
325,5,descriptive_31,114
326,5,descriptive_32,66
327,5,descriptive_34,28
328,5,descriptive_35,100
329,5,descriptive_37,162
330,5,enable_0,121
331,5,enable_3,300
332,5,counterfactual_5,123
333,5,counterfactual_8,222
334,5,descriptive_11,84
335,5,descriptive_22,136
336,5,descriptive_24,78
337,5,prevent_5,14
338,5,descriptive_9,38
339,5,descriptive_14,84
340,5,prevent_3,18
341,5,descriptive_0,30
342,5,descriptive_5,40
343,5,descriptive_7,130
344,5,descriptive_21,98
345,5,descriptive_23,144
346,5,descriptive_26,66
347,5,descriptive_27,50
348,5,descriptive_33,78
349,5,descriptive_36,98
350,5,counterfactual_1,56
351,5,counterfactual_3,60
352,5,descriptive_10,24
353,5,cause_1,8
354,5,cause_2,10
355,5,cause_4,4
356,5,cause_5,10
357,5,counterfactual_0,78
358,5,prevent_2,18
359,5,prevent_4,4
360,5,descriptive_18,32
361,5,descriptive_2,42
362,5,descriptive_25,93
363,5,prevent_0,18
364,5,descriptive_16,6
365,5,prevent_1,6
366,5,descriptive_4,9
367,5,cause_3,10
368,5,enable_1,2
369,5,descriptive_28,16
370,5,descriptive_29,78
371,5,descriptive_19,24
372,5,descriptive_8,6
373,5,descriptive_17,34
374,5,cause_0,10
375,5,counterfactual_4,33
376,5,descriptive_6,24
377,5,enable_2,2
378,5,enable_5,2
379,5,descriptive_13,6
380,5,descriptive_1,3
381,5,enable_4,4
382,7,counterfactual_0,140
383,7,counterfactual_1,76
384,7,counterfactual_3,195
385,7,counterfactual_5,177
386,7,counterfactual_6,290
387,7,counterfactual_8,242
388,7,descriptive_3,231
389,7,descriptive_6,128
390,7,descriptive_16,88
391,7,descriptive_22,256
392,7,descriptive_23,256
393,7,descriptive_25,237
394,7,descriptive_26,222
395,7,descriptive_30,212
396,7,descriptive_32,170
397,7,descriptive_34,84
398,7,descriptive_35,178
399,7,descriptive_36,236
400,7,enable_1,244
401,7,enable_2,275
402,7,enable_4,300
403,7,enable_5,300
404,7,prevent_1,300
405,7,prevent_2,300
406,7,prevent_4,300
407,7,prevent_5,300
408,7,cause_0,50
409,7,cause_1,102
410,7,cause_2,110
411,7,counterfactual_2,150
412,7,counterfactual_4,52
413,7,counterfactual_7,212
414,7,descriptive_7,205
415,7,descriptive_11,113
416,7,descriptive_14,120
417,7,descriptive_17,48
418,7,descriptive_24,201
419,7,enable_0,104
420,7,cause_5,32
