,template_id,simulation_id,answer,count
0,descriptive_32,4,True,289
1,descriptive_32,4,False,11
2,counterfactual_8,4,True,265
3,counterfactual_8,4,False,35
4,descriptive_4,4,0,222
5,descriptive_4,4,3,32
6,descriptive_4,4,2,6
7,descriptive_4,4,4,40
8,descriptive_17,4,1,100
9,descriptive_17,4,0,88
10,descriptive_17,4,3,40
11,descriptive_17,4,2,72
12,descriptive_5,4,1,103
13,descriptive_5,4,0,183
14,descriptive_5,4,2,14
15,descriptive_25,4,circle,300
16,descriptive_10,4,0,300
17,descriptive_20,4,2,114
18,descriptive_20,4,0,68
19,descriptive_20,4,1,83
20,descriptive_20,4,3,35
21,descriptive_31,4,True,189
22,descriptive_31,4,False,111
23,cause_3,4,0,300
24,descriptive_12,4,0,221
25,descriptive_12,4,3,42
26,descriptive_12,4,2,21
27,descriptive_12,4,4,16
28,descriptive_36,4,True,263
29,descriptive_36,4,False,37
30,prevent_2,4,True,71
31,prevent_2,4,False,161
32,descriptive_33,4,True,230
33,descriptive_33,4,False,70
34,enable_4,4,0,294
35,enable_4,4,1,6
36,counterfactual_6,4,True,286
37,counterfactual_6,4,False,14
38,cause_2,4,False,300
39,descriptive_7,4,4,157
40,descriptive_7,4,3,123
41,descriptive_7,4,2,20
42,counterfactual_5,4,3,135
43,counterfactual_5,4,2,150
44,counterfactual_5,4,1,15
45,enable_3,4,0,300
46,prevent_5,4,0,230
47,prevent_5,4,1,61
48,prevent_5,4,2,9
49,counterfactual_2,4,True,173
50,counterfactual_2,4,False,127
51,cause_1,4,False,300
52,counterfactual_7,4,False,300
53,descriptive_3,4,0,100
54,descriptive_3,4,1,110
55,descriptive_3,4,2,35
56,descriptive_3,4,3,30
57,descriptive_3,4,4,25
58,descriptive_13,4,1,119
59,descriptive_13,4,0,172
60,descriptive_13,4,2,9
61,prevent_3,4,0,300
62,descriptive_22,4,purple,36
63,descriptive_22,4,yellow,33
64,descriptive_22,4,green,40
65,descriptive_22,4,gray,38
66,descriptive_22,4,red,45
67,descriptive_22,4,brown,47
68,descriptive_22,4,blue,38
69,descriptive_22,4,cyan,23
70,descriptive_23,4,gray,44
71,descriptive_23,4,purple,44
72,descriptive_23,4,yellow,37
73,descriptive_23,4,red,30
74,descriptive_23,4,brown,34
75,descriptive_23,4,green,42
76,descriptive_23,4,blue,35
77,descriptive_23,4,cyan,34
78,prevent_0,4,False,300
79,descriptive_6,4,1,105
80,descriptive_6,4,2,111
81,descriptive_6,4,3,49
82,descriptive_6,4,0,28
83,descriptive_6,4,4,7
84,descriptive_24,4,circle,300
85,counterfactual_3,4,3,209
86,counterfactual_3,4,2,83
87,counterfactual_3,4,1,8
88,counterfactual_1,4,False,300
89,descriptive_37,4,True,231
90,descriptive_37,4,False,69
91,prevent_1,4,False,97
92,prevent_1,4,True,46
93,descriptive_2,4,0,161
94,descriptive_2,4,1,98
95,descriptive_2,4,2,31
96,descriptive_2,4,3,9
97,descriptive_2,4,4,1
98,descriptive_30,4,True,246
99,descriptive_30,4,False,54
100,descriptive_8,4,0,300
101,descriptive_15,4,3,165
102,descriptive_15,4,2,65
103,descriptive_15,4,4,68
104,descriptive_15,4,1,2
105,enable_2,4,False,288
106,enable_2,4,True,12
107,descriptive_16,4,0,97
108,descriptive_16,4,1,93
109,descriptive_16,4,2,73
110,descriptive_16,4,3,37
111,descriptive_27,4,False,145
112,descriptive_27,4,True,155
113,descriptive_26,4,True,279
114,descriptive_26,4,False,21
115,counterfactual_4,4,0,300
116,descriptive_21,4,2,73
117,descriptive_21,4,1,110
118,descriptive_21,4,0,101
119,descriptive_21,4,3,16
120,enable_1,4,False,296
121,enable_1,4,True,4
122,enable_5,4,0,273
123,enable_5,4,1,26
124,enable_5,4,2,1
125,prevent_4,4,0,266
126,prevent_4,4,2,4
127,prevent_4,4,1,30
128,descriptive_1,4,0,255
129,descriptive_1,4,1,43
130,descriptive_1,4,2,2
131,counterfactual_0,4,True,191
132,counterfactual_0,4,False,109
133,cause_4,4,0,300
134,descriptive_14,4,3,30
135,descriptive_14,4,1,106
136,descriptive_14,4,0,38
137,descriptive_14,4,2,123
138,descriptive_14,4,4,3
139,descriptive_9,4,0,300
140,descriptive_11,4,0,300
141,descriptive_0,4,0,250
142,descriptive_0,4,2,7
143,descriptive_0,4,1,28
144,descriptive_0,4,3,11
145,descriptive_0,4,4,4
146,cause_5,4,0,300
147,descriptive_32,2,True,164
148,descriptive_32,2,False,38
149,counterfactual_8,2,True,131
150,counterfactual_8,2,False,169
151,descriptive_4,2,0,243
152,descriptive_4,2,1,30
153,descriptive_4,2,4,1
154,descriptive_4,2,2,9
155,descriptive_4,2,3,17
156,descriptive_17,2,0,136
157,descriptive_17,2,2,25
158,descriptive_17,2,1,35
159,descriptive_17,2,3,6
160,descriptive_5,2,0,245
161,descriptive_5,2,1,55
162,descriptive_29,2,False,26
163,descriptive_29,2,True,221
164,descriptive_25,2,circle,237
165,descriptive_25,2,cube,63
166,descriptive_10,2,3,20
167,descriptive_10,2,1,108
168,descriptive_10,2,0,126
169,descriptive_10,2,2,44
170,descriptive_10,2,4,2
171,descriptive_20,2,0,99
172,descriptive_20,2,1,79
173,descriptive_20,2,2,26
174,descriptive_20,2,3,5
175,descriptive_20,2,4,1
176,descriptive_31,2,False,58
177,descriptive_31,2,True,152
178,descriptive_35,2,False,1
179,descriptive_35,2,True,246
180,cause_3,2,0,238
181,cause_3,2,1,50
182,cause_3,2,2,11
183,cause_3,2,3,1
184,descriptive_12,2,0,222
185,descriptive_12,2,1,51
186,descriptive_12,2,2,12
187,descriptive_12,2,3,14
188,descriptive_12,2,4,1
189,descriptive_36,2,True,165
190,descriptive_36,2,False,45
191,prevent_2,2,False,291
192,prevent_2,2,True,9
193,descriptive_33,2,True,198
194,descriptive_33,2,False,4
195,enable_4,2,0,268
196,enable_4,2,1,31
197,enable_4,2,2,1
198,counterfactual_6,2,False,172
199,counterfactual_6,2,True,128
200,cause_2,2,False,165
201,cause_2,2,True,45
202,descriptive_7,2,0,98
203,descriptive_7,2,2,65
204,descriptive_7,2,1,75
205,descriptive_7,2,3,47
206,descriptive_7,2,4,14
207,descriptive_7,2,5,1
208,counterfactual_5,2,0,98
209,counterfactual_5,2,1,85
210,counterfactual_5,2,2,75
211,counterfactual_5,2,3,38
212,counterfactual_5,2,4,4
213,descriptive_19,2,2,23
214,descriptive_19,2,0,157
215,descriptive_19,2,1,63
216,descriptive_19,2,3,3
217,descriptive_19,2,4,1
218,enable_3,2,0,236
219,enable_3,2,1,62
220,enable_3,2,2,2
221,prevent_5,2,0,260
222,prevent_5,2,1,38
223,prevent_5,2,3,1
224,prevent_5,2,2,1
225,counterfactual_2,2,False,254
226,counterfactual_2,2,True,46
227,cause_1,2,True,46
228,cause_1,2,False,156
229,counterfactual_7,2,True,133
230,counterfactual_7,2,False,167
231,descriptive_3,2,0,23
232,descriptive_3,2,3,99
233,descriptive_3,2,4,66
234,descriptive_3,2,2,47
235,descriptive_3,2,1,45
236,descriptive_3,2,5,16
237,descriptive_3,2,7,1
238,descriptive_3,2,6,3
239,descriptive_13,2,0,244
240,descriptive_13,2,2,1
241,descriptive_13,2,1,55
242,prevent_3,2,0,225
243,prevent_3,2,1,69
244,prevent_3,2,2,6
245,descriptive_22,2,gray,38
246,descriptive_22,2,brown,30
247,descriptive_22,2,red,40
248,descriptive_22,2,purple,35
249,descriptive_22,2,cyan,35
250,descriptive_22,2,green,31
251,descriptive_22,2,yellow,44
252,descriptive_22,2,blue,47
253,descriptive_23,2,gray,33
254,descriptive_23,2,yellow,35
255,descriptive_23,2,green,28
256,descriptive_23,2,blue,37
257,descriptive_23,2,purple,38
258,descriptive_23,2,cyan,37
259,descriptive_23,2,brown,39
260,descriptive_23,2,red,53
261,prevent_0,2,False,281
262,prevent_0,2,True,19
263,descriptive_6,2,0,158
264,descriptive_6,2,1,86
265,descriptive_6,2,2,47
266,descriptive_6,2,3,9
267,descriptive_34,2,True,157
