,template_id,answer,count
0,descriptive_32,True,1289
1,descriptive_32,False,874
2,counterfactual_8,True,1597
3,counterfactual_8,False,1403
4,descriptive_4,0,2344
5,descriptive_4,1,461
6,descriptive_4,3,58
7,descriptive_4,2,95
8,descriptive_4,4,42
9,descriptive_17,0,1465
10,descriptive_17,1,486
11,descriptive_17,3,48
12,descriptive_17,2,164
13,descriptive_5,0,2521
14,descriptive_5,1,449
15,descriptive_5,2,29
16,descriptive_5,3,1
17,descriptive_29,True,785
18,descriptive_29,False,362
19,descriptive_25,circle,1715
20,descriptive_25,triangle,416
21,descriptive_25,cube,503
22,descriptive_10,0,2331
23,descriptive_10,3,21
24,descriptive_10,1,553
25,descriptive_10,2,93
26,descriptive_10,4,2
27,descriptive_20,1,737
28,descriptive_20,0,1301
29,descriptive_20,2,277
30,descriptive_20,3,50
31,descriptive_20,4,1
32,descriptive_31,True,1517
33,descriptive_31,False,849
34,descriptive_35,True,878
35,descriptive_35,False,269
36,cause_3,0,2863
37,cause_3,1,121
38,cause_3,2,15
39,cause_3,3,1
40,descriptive_12,1,581
41,descriptive_12,0,2190
42,descriptive_12,2,146
43,descriptive_12,3,65
44,descriptive_12,4,18
45,descriptive_36,True,1280
46,descriptive_36,False,1086
47,prevent_2,False,2596
48,prevent_2,True,229
49,descriptive_33,True,1617
50,descriptive_33,False,546
51,enable_4,0,2874
52,enable_4,1,124
53,enable_4,2,2
54,counterfactual_6,True,1437
55,counterfactual_6,False,1563
56,cause_2,False,2143
57,cause_2,True,223
58,descriptive_7,2,707
59,descriptive_7,0,837
60,descriptive_7,1,944
61,descriptive_7,4,179
62,descriptive_7,3,331
63,descriptive_7,5,2
64,counterfactual_5,1,1164
65,counterfactual_5,0,864
66,counterfactual_5,3,207
67,counterfactual_5,2,760
68,counterfactual_5,4,5
69,descriptive_19,0,942
70,descriptive_19,2,33
71,descriptive_19,1,167
72,descriptive_19,3,4
73,descriptive_19,4,1
74,enable_3,0,2820
75,enable_3,1,175
76,enable_3,2,5
77,prevent_5,0,2668
78,prevent_5,1,319
79,prevent_5,3,1
80,prevent_5,2,12
81,counterfactual_2,True,834
82,counterfactual_2,False,2166
83,cause_1,False,1951
84,cause_1,True,212
85,counterfactual_7,False,2359
86,counterfactual_7,True,641
87,descriptive_3,1,875
88,descriptive_3,0,1020
89,descriptive_3,4,125
90,descriptive_3,3,318
91,descriptive_3,2,641
92,descriptive_3,5,17
93,descriptive_3,7,1
94,descriptive_3,6,3
95,descriptive_13,1,523
96,descriptive_13,0,2457
97,descriptive_13,2,20
98,prevent_3,0,2792
99,prevent_3,1,197
100,prevent_3,2,11
101,descriptive_22,gray,372
102,descriptive_22,blue,307
103,descriptive_22,purple,337
104,descriptive_22,cyan,303
105,descriptive_22,yellow,333
106,descriptive_22,brown,325
107,descriptive_22,red,342
108,descriptive_22,green,315
109,descriptive_23,brown,357
110,descriptive_23,gray,356
111,descriptive_23,blue,304
112,descriptive_23,cyan,306
113,descriptive_23,red,324
114,descriptive_23,purple,349
115,descriptive_23,yellow,321
116,descriptive_23,green,317
117,prevent_0,False,2919
118,prevent_0,True,76
119,descriptive_6,1,1003
120,descriptive_6,0,1539
121,descriptive_6,2,371
122,descriptive_6,3,80
123,descriptive_6,4,7
124,descriptive_34,True,451
125,descriptive_34,False,696
126,descriptive_24,circle,1740
127,descriptive_24,cube,502
