,template_id,answer,answer_type,count
0,descriptive_16,2,Count,71
1,descriptive_16,0,Count,80
2,descriptive_16,1,Count,80
3,descriptive_16,3,Count,42
4,descriptive_16,4,Count,1
5,cause_4,1,Count,120
6,cause_4,0,Count,120
7,cause_4,2,Count,18
8,cause_4,3,Count,2
9,prevent_1,True,Boolean,168
10,prevent_1,False,Boolean,168
11,descriptive_26,True,Boolean,710
12,descriptive_26,False,Boolean,710
13,descriptive_12,2,Count,61
14,descriptive_12,0,Count,61
15,descriptive_12,1,Count,45
16,descriptive_12,4,Count,18
17,descriptive_12,3,Count,25
18,enable_5,1,Count,120
19,enable_5,0,Count,120
20,enable_5,2,Count,3
21,descriptive_23,brown,Color,248
22,descriptive_23,gray,Color,248
23,descriptive_23,blue,Color,248
24,descriptive_23,cyan,Color,248
25,descriptive_23,red,Color,248
26,descriptive_23,yellow,Color,248
27,descriptive_23,purple,Color,248
28,descriptive_23,green,Color,248
29,descriptive_10,1,Count,56
30,descriptive_10,0,Count,56
31,descriptive_10,2,Count,27
32,descriptive_10,4,Count,2
33,descriptive_10,3,Count,3
34,enable_4,0,Count,72
35,enable_4,1,Count,72
36,enable_4,2,Count,2
37,descriptive_13,1,Count,153
38,descriptive_13,0,Count,153
39,descriptive_13,2,Count,20
40,descriptive_24,circle,Shape,740
41,descriptive_24,cube,Shape,440
42,descriptive_24,triangle,Shape,365
43,descriptive_34,True,Boolean,344
44,descriptive_34,False,Boolean,344
45,descriptive_11,1,Count,123
46,descriptive_11,0,Count,123
47,descriptive_11,2,Count,43
48,descriptive_11,4,Count,7
49,descriptive_11,5,Count,3
50,descriptive_11,3,Count,14
51,descriptive_19,0,Count,37
52,descriptive_19,1,Count,37
53,descriptive_19,3,Count,2
54,descriptive_19,2,Count,5
55,descriptive_19,4,Count,1
56,descriptive_14,1,Count,98
57,descriptive_14,2,Count,98
58,descriptive_14,0,Count,98
59,descriptive_14,3,Count,59
60,descriptive_14,4,Count,4
61,descriptive_31,False,Boolean,474
62,descriptive_31,True,Boolean,474
63,prevent_2,True,Boolean,229
64,prevent_2,False,Boolean,229
65,descriptive_22,gray,Color,233
66,descriptive_22,blue,Color,233
67,descriptive_22,purple,Color,233
68,descriptive_22,cyan,Color,233
69,descriptive_22,yellow,Color,233
70,descriptive_22,brown,Color,233
71,descriptive_22,red,Color,233
72,descriptive_22,green,Color,233
73,descriptive_35,False,Boolean,94
74,descriptive_35,True,Boolean,272
75,cause_3,1,Count,36
76,cause_3,0,Count,36
77,cause_3,2,Count,5
78,cause_3,3,Count,1
79,descriptive_15,2,Count,113
80,descriptive_15,1,Count,113
81,descriptive_15,4,Count,12
82,descriptive_15,0,Count,67
83,descriptive_15,3,Count,103
84,descriptive_15,5,Count,2
85,descriptive_20,1,Count,194
86,descriptive_20,3,Count,46
87,descriptive_20,2,Count,128
88,descriptive_20,0,Count,194
89,descriptive_20,4,Count,1
90,descriptive_33,False,Boolean,235
91,descriptive_33,True,Boolean,235
92,descriptive_30,True,Boolean,729
93,descriptive_30,False,Boolean,729
94,descriptive_6,2,Count,54
95,descriptive_6,0,Count,113
96,descriptive_6,1,Count,113
97,descriptive_6,3,Count,38
98,descriptive_6,4,Count,7
99,descriptive_3,0,Count,119
100,descriptive_3,4,Count,57
101,descriptive_3,3,Count,119
102,descriptive_3,2,Count,119
103,descriptive_3,1,Count,119
104,descriptive_3,5,Count,2
105,descriptive_3,7,Count,1
106,descriptive_3,6,Count,1
107,descriptive_5,0,Count,119
108,descriptive_5,2,Count,29
109,descriptive_5,1,Count,119
110,descriptive_5,3,Count,1
111,counterfactual_3,0,Count,218
112,counterfactual_3,1,Count,226
113,counterfactual_3,3,Count,17
114,counterfactual_3,2,Count,226
